MBB.Id	reaction	Reversible	E.C.number	ko	E.C.num_gene
0.84	rn:R01478		(3.2.1.31)			[00040]
0.85	rn:R08615		(2.4.1.17)			[00053]
0.86	rn:R01384		(4.1.1.35)			[00520]
0.87	rn:R01801		(2.7.8.5)			[00564]
0.88	rn:R00590		(4.3.1.17)			[00270]
0.89	rn:R01394		(5.3.1.22)			[00630]
0.9	rn:R00508		(3.1.3.7)			[00920]
0.9	rn:R00509		(2.7.1.25)			[00230, 00920]
0.9	rn:R00529	reversible	(2.7.7.4)			[00230, 00261, 00920]
0.90	rn:R01013		(2.3.1.42)			[00564]
0.91	rn:R00912		(6.3.2.11)			[00410]
0.92	rn:R04065		(1.2.1.3)			[00340]
0.93	rn:R02150		(1.4.3.22)			[00340]
0.94	rn:R01167		(4.1.1.22)			[00340]
0.95	rn:R07363		(1.13.11.53)			[00270]
0.96	rn:R05050		(1.2.1.3)			[00330]
0.97	rn:R04025		(1.4.3.4)			[00330]
0.98	rn:R01154		(2.3.1.57)			[00330]
0.99	rn:R00111		(1.14.13.39)			[00330]
1	rn:R00014		(1.2.4.1)			[00010, 00020, 00620]
1	rn:R00014		(4.1.1.1)			[00010, 00020, 00620]
1	rn:R00028		(3.2.1.20)			[00500]
1	rn:R00086		(3.6.1.15)			[00230]
1	rn:R00086		(3.6.1.3)			[00230]
1	rn:R00086		(3.6.1.5)			[00230]
1	rn:R00087		(3.6.1.8)			[00230]
1	rn:R00087		(3.6.1.9)			[00230]
1	rn:R00089		(4.6.1.1)			[00230]
1	rn:R00102		(3.2.2.6)			[00760]
1	rn:R00103		(3.6.1.22)			[00760]
1	rn:R00103		(3.6.1.9)			[00760]
1	rn:R00104		(2.7.1.23)			[00760]
1	rn:R00112	reversible	(1.6.1.1)			[00760]
1	rn:R00112	reversible	(1.6.1.2)			[00760]
1	rn:R00115		(1.8.1.7)			[00480]
1	rn:R00119		(2.4.99.20)			[00760]
1	rn:R00122		(3.6.1.5)			[00230]
