node;label
65880;3821
65881;3826
65882;506
64940;504
64942;3819
64943;3816
64944;3829
65883;3830
64946;3831
65884;503
65885;507
65886;3832
65887;3833
65888;3834
65889;3835
65890;3836
65891;3837
65893;3838
65894;3840
65892;508
65895;3825
65042;3841
64960;3842
65043;3843
64961;3844
65896;3845
65044;3846
65897;3847
65045;3848
65899;3849
65046;3850
65047;3851
64964;3852
65898;3853
65901;3860
65900;3862
64969;3864
65903;3870
65048;3871
65902;3877
65904;3872
65905;3873
64974;3875
65906;3878
65907;3880
65908;3881
65909;3882
65049;3888
65050;3889
65051;3890
65052;3891
65922;3893
64980;3894
65911;3895
65912;3896
65913;3897
65914;3898
65910;3899
65915;3900
65917;3907
65916;3908
65918;3883
65919;3886
65920;3885
65053;3913
65921;3914
65054;3905
64993;3922
65923;3923
65924;3924
65925;3925
65926;3926
65927;3927
64999;3928
65000;3929
65928;169.0
65929;3930
65930;480
65931;0.269
65932;0.270
65933;3932
65934;3933
65935;3934
65936;3935
65937;3936
65129;170
65938;3937
65939;3938
65940;3939
65941;3940
65943;3941
65942;3942
64084;128
65017;3947
65944;3948
65945;3949
65169;258
65946;3950
65947;3951
65022;3954
65948;0.271
65949;3955
65950;3958
65951;3969
65952;3959
65953;3970
65954;3971
65955;3972
65956;3973
65957;3974
65958;3975
65959;3976
65960;3977
65961;3978
65962;3979
65963;3980
65964;3981
65965;3982
